PROPERTY AND LEASES - Components of Lease Costs (Details) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jan. 28, 2024","Jan. 29, 2023","Jan. 30, 2022"
Leases [Abstract], , , 
Operating lease cost,1359,1169,1084
Finance lease cost:, , , 
Amortization of leased assets,304,282,250
Interest on lease liabilities,126,125,127
Variable lease cost,486,470,425
