PROPERTY AND LEASES - Schedule of Lease Terms and Discount Rates (Details),"Jan. 28, 2024","Jan. 29, 2023"
Weighted Average Remaining Lease Term (Years):, , 
Operating leases,10 years,9 years
Finance leases,13 years,14 years
Weighted Average Discount Rate:, , 
Operating leases,0.037,0.032
Finance leases,0.037,0.043
