EMPLOYEE BENEFIT PLANS - Schedule of Benefit Plans and the Restoration Plans (Details) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jan. 28, 2024","Jan. 29, 2023","Jan. 30, 2022"
Retirement Benefits [Abstract], , , 
Contributions to the Benefit Plans and the Restoration Plans,293,280,278
