STOCK-BASED COMPENSATION - Deferred Compensation Arrangements (Details) - shares shares in Thousands,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jan. 28, 2024","Jan. 29, 2023","Jan. 30, 2022"
"Deferred Compensation, Share-based Payments", , , 
Share-based Compensation Arrangement by Share-based Payment Award [Line Items], , , 
Deferred shares granted to non-employee directors,19,19,15
