PROPERTY AND LEASES - Schedule of Depreciation and Capital Lease Amortization (Details) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jan. 28, 2024","Jan. 29, 2023","Jan. 30, 2022"
Leases [Abstract], , , 
Depreciation and finance lease amortization expense,3020,2756,2650
