PROPERTY AND LEASES - Other Lease Information (Details) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jan. 28, 2024","Jan. 29, 2023","Jan. 30, 2022"
Cash paid for amounts included in the measurement of lease liabilities:, , , 
Operating cash flows – operating leases,1328,1157,1090
Operating cash flows – finance leases,126,125,127
Financing cash flows – finance leases,271,241,182
Lease assets obtained in exchange for new operating lease liabilities,1827,1991,964
Lease assets obtained in exchange for new finance lease liabilities,336,322,672
