GOODWILL AND INTANGIBLE ASSETS - Schedule of Goodwill (Details) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2
,"Jan. 28, 2024","Jan. 29, 2023"
Goodwill [Roll Forward], , 
"Goodwill, balance at beginning of year",7444,7449
Acquisitions,998,0
Other,13,-5
"Goodwill, balance at end of year",8455,7444
