"STOCKHOLDERS' EQUITY - Summary of Repurchases of Common Stock (Details) - USD ($) shares in Millions, $ in Millions",12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jan. 28, 2024","Jan. 29, 2023","Jan. 30, 2022"
Equity [Abstract], , , 
Total number of shares repurchased (in shares),26,21,45
Total cost of shares repurchased,8074,6504,15001
